question_key	reason	question
Kalshi#f_062968720f	outcome_space_varies(2 spaces, pmf lengths [11, 16])	Don’t Look Down: First Week Pure Album Sales
Kalshi#f_104d55d518	outcome_space_varies(2 spaces, pmf lengths [14, 20])	Jobs numbers in Aug 2026?
Kalshi#f_206a0a73b5	outcome_index=26_outside_pmf_len=26	West Georgia vs Kennesaw St.: Spread
Kalshi#f_2498ca4ef3	outcome_space_varies(2 spaces, pmf lengths [13, 15])	A's vs Seattle: Total Runs
Kalshi#f_24c53c5040	outcome_space_varies(2 spaces, pmf lengths [8, 16])	WILD CHILD: First Week Pure Album Sales
Kalshi#f_4d2ea95714	outcome_index=7_outside_pmf_len=7	Barcelona vs Vallecano: Total Goals
Kalshi#f_4e881024eb	outcome_index=9_outside_pmf_len=7	Portland vs Minnesota: Total Goals
Kalshi#f_50cc3557da	outcome_index=20_outside_pmf_len=20	Florida A&M vs Miami (FL): Total Points
Kalshi#f_52cf123338	outcome_index=20_outside_pmf_len=20	The Citadel vs Charlotte: Total Points
Kalshi#f_5cb075f084	outcome_index=22_outside_pmf_len=20	New Hampshire vs Syracuse: Spread
Kalshi#f_5f45ce90c1	outcome_space_varies(2 spaces, pmf lengths [14, 16])	Don’t Look Down: First Week Streams
Kalshi#f_69c563c0e8	outcome_space_varies(2 spaces, pmf lengths [26, 33])	#2 on the Billboard 200 chart for the Week of Sep 5, 2026?
Kalshi#f_78e736163f	outcome_index=21_outside_pmf_len=20	Northwestern St. vs Louisiana Tech: Total Points
Kalshi#f_85423c0629	outcome_index=19_outside_pmf_len=18	Nicholls St. vs Kansas St.: Spread
Kalshi#f_88eff62acf	outcome_space_varies(2 spaces, pmf lengths [11, 18])	Onslaught · Rotten Tomatoes score
Kalshi#f_9c72de25c5	outcome_space_varies(2 spaces, pmf lengths [163, 164])	Omega European Masters Winner
Kalshi#f_b0ae19bf9c	outcome_index=25_outside_pmf_len=25	Alcorn St. vs Southern Miss: Spread
Kalshi#f_b16f34d491	outcome_index=13_outside_pmf_len=12	Seattle vs Boston: Total Runs
Kalshi#f_c31c64dd04	outcome_index=7_outside_pmf_len=7	Alaves vs Osasuna: Total Goals
Kalshi#f_c4332de057	outcome_space_varies(2 spaces, pmf lengths [10, 14])	Olivia Rodrigo: Highest daily view count (August 31, 2026 - September 6, 2026)
Kalshi#f_d27c3bbee0	outcome_index=12_outside_pmf_len=12	Milwaukee vs Chicago C: Total Runs
Kalshi#f_d71ddb4b8a	outcome_space_varies(2 spaces, pmf lengths [8, 12])	WILDCHILD: First Week Album Equivalent Units
Kalshi#f_dc1f2b99c3	outcome_index=8_outside_pmf_len=7	Ajax vs Sion: Regulation Time Total Goals
Kalshi#f_df37cce1c5	outcome_index=8_outside_pmf_len=7	Miami vs Montreal: Total Goals
Kalshi#f_e0a2add052	outcome_space_varies(2 spaces, pmf lengths [8, 18])	Post Malone: Highest daily view count (August 31, 2026 - September 6, 2026)
Kalshi#f_e0be037a5c	outcome_index=21_outside_pmf_len=20	Louisville vs Ole Miss: Total Points
Kalshi#f_ec1c8b0d99	outcome_index=7_outside_pmf_len=7	Dallas vs Kansas City: Total Goals
Kalshi#f_ecbf96c9d7	outcome_space_varies(2 spaces, pmf lengths [157, 158])	Husqvarna British Masters hosted by Sir Nick Faldo Winner
Kalshi#f_ecec571bfd	outcome_space_varies(3 spaces, pmf lengths [11, 13, 14])	Don’t Look Down: First Week Album Equivalent Units
Kalshi#f_ef44231b2c	outcome_space_varies(2 spaces, pmf lengths [84, 86])	The Ally Challenge Winner
Kalshi#f_f0a2fa97f2	outcome_index=7_outside_pmf_len=7	Chelsea vs Brighton: Total Goals
Kalshi#f_fd4e4abadd	outcome_index=27_outside_pmf_len=22	US gas prices this week
Kalshi#f_ffa6bb8163	outcome_space_varies(2 spaces, pmf lengths [4, 5])	How many days will Trump be photographed this week? (8/31-9/6)
