question_key	reason	question
Kalshi#00de0f1de44c	resolution='scalar'	Lyon Gaming Academy vs. NCG Esports (Lyon Gaming Academy)
Kalshi#032194e9bb48	resolution='scalar'	Band-E-Amir Dragons vs Speen Ghar Tigers (Band-E-Amir Dragons)
Kalshi#03de3e60eadb	resolution='scalar'	Boston vs New York Y (New York Y)
Kalshi#0441232dcc8e	resolution='scalar'	Band-E-Amir Dragons vs Mis-E-Ainak Knights (Band-E-Amir Dragons)
Kalshi#0474e17466e0	resolution='scalar'	Highest Scoring Team in Group Stage (Netherlands)
Kalshi#07ff465d464c	resolution='scalar'	GV Club Deportivo San Jose de Oruro vs The Strongest (Tie)
Kalshi#08437bcbc948	resolution='scalar'	West Indies vs Sri Lanka (Sri Lanka)
Kalshi#0845a9684d42	resolution='scalar'	Canelo Alvarez vs Christian Mbilli (Christian Mbilli)
Kalshi#13361cb94dd3	resolution='scalar'	Derbyshire vs Yorkshire (Derbyshire)
Kalshi#197ceccf2be1	resolution='scalar'	Nantes vs Toulouse (Nantes)
Kalshi#1cc733531528	resolution='scalar'	West Indies vs Sri Lanka (West Indies)
Kalshi#20a86d24e458	resolution='scalar'	Tohoku Rakuten Golden Eagles vs Hanshin Tigers (Hanshin Tigers)
Kalshi#21bd1ab52035	resolution='scalar'	Canelo Alvarez vs Christian Mbilli (Canelo Alvarez)
Kalshi#2272aa66987d	resolution='scalar'	England vs India (England)
Kalshi#264e6dd7bbd7	resolution='scalar'	China vs Saudi Arabia (Saudi Arabia)
Kalshi#271f704b25f2	resolution='scalar'	Nikita Tszyu vs Ben Mahoney (Nikita Tszyu)
Kalshi#2ae43398618c	resolution='scalar'	West Indies vs Sri Lanka (West Indies)
Kalshi#2b52b26ee047	resolution='scalar'	KT Wiz vs Hanwha Eagles (Hanwha Eagles)
Kalshi#2bb7ed4478f7	resolution='scalar'	Surrey vs Hampshire (Hampshire)
Kalshi#2df4175be56f	resolution='scalar'	Boston vs New York Y (Boston)
Kalshi#2f482a44e13b	resolution='scalar'	Nantes vs Toulouse: First Half Winner (Tie)
Kalshi#324102309262	resolution='scalar'	San Francisco vs Atlanta (Atlanta)
Kalshi#331cbf3d1f5d	resolution='scalar'	Nantes vs Toulouse: BTTS
