question_key	question
Sooth_QGen#000848875228	Will the Kalshi YES mid-market price for Cleveland (Cleveland vs Texas) land in the 20-30¢ bucket at game start (2026-06-06)?
Sooth_QGen#001f8abf191d	Will the Kalshi YES mid-market price for Atlanta (Atlanta vs Cincinnati) land in the 80-90¢ bucket at game start (2026-05-30)?
Sooth_QGen#001fe3763221	Will the Kalshi YES mid-market price for Toronto (Toronto vs Atlanta) land in the 70-80¢ bucket at game start (2026-06-02)?
Sooth_QGen#0020aeb6901f	Will the Kalshi YES mid-market price for Arizona (Arizona vs Cincinnati) land in the 60-70¢ bucket at game start (2026-06-12)?
Sooth_QGen#00269b685226	Will the Kalshi YES mid-market price for Colorado (San Francisco vs Colorado) land in the 40-50¢ bucket at game start (2026-05-31)?
Sooth_QGen#003292fd980d	Will the Kalshi YES mid-market price for Tampa Bay (Tampa Bay vs Baltimore) land in the 70-80¢ bucket at game start (2026-05-27)?
Sooth_QGen#0033177db351	Will the Kalshi YES mid-market price for Miami (Tampa Bay vs Miami) land in the 0-10¢ bucket at game start (2026-06-07)?
Sooth_QGen#0041ef7780de	Will the Kalshi YES mid-market price for Los Angeles A (Colorado vs Los Angeles A) land in the 10-20¢ bucket at game start (2026-06-04)?
Sooth_QGen#004481fec2dc	Will the Kalshi YES mid-market price for Cleveland (Cleveland vs New York Y) land in the 20-30¢ bucket at game start (2026-06-02)?
Sooth_QGen#005f2f5ea935	Will the Kalshi YES mid-market price for Los Angeles D (Los Angeles D vs Pittsburgh) land in the 20-30¢ bucket at game start (2026-06-11)?
Sooth_QGen#006243ca3363	Will the Kalshi YES mid-market price for Atlanta (Pittsburgh vs Atlanta) land in the 60-70¢ bucket at game start (2026-06-05)?
Sooth_QGen#00731a8c0fab	Will the Kalshi YES mid-market price for Kansas City (Kansas City vs Minnesota) land in the 60-70¢ bucket at game start (2026-06-04)?
Sooth_QGen#00821d13fc8a	Will the Kalshi YES mid-market price for Atlanta (Atlanta vs Cincinnati) land in the 20-30¢ bucket at game start (2026-05-31)?
Sooth_QGen#00864ff82bd9	Will the Kalshi YES mid-market price for Baltimore (Baltimore vs Toronto) land in the 50-60¢ bucket at game start (2026-06-05)?
Sooth_QGen#00925c04a54d	Will the Kalshi YES mid-market price for Los Angeles A (Los Angeles A vs Tampa Bay) land in the 20-30¢ bucket at game start (2026-05-29)?
Sooth_QGen#009640588e9a	Will the Kalshi YES mid-market price for Atlanta (Toronto vs Atlanta) land in the 70-80¢ bucket at game start (2026-06-03)?
